"Title"	"Subtitle"	"CELEX number"	"Initiating document"	"Procedure reference"	"Initial reference"	"Adopted acts"	"Latest consolidated version"	"Procedure status"	"ELI"	"ECLI identifier"	"Transposed legal act(s)"	"Collection of the document"	"Date of document"	"Author"	"Obsolete CELEX number"	"Document sector"	"Document year"	"Document type"	"Document number"	"Document corrigendum"	"Procedure number"	"In force indicator"	"Number of pages"	"Publication Reference"	
"Proposal for a COUNCIL DIRECTIVE on the burden of proof in cases of discrimination based on sex"	"/* COM/96/0340 FINAL - PRT 96/0196 */"	"51996PC0340"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1996-07-17"	"European Commission"	""	"5"	"1996"	"PC"	"0340"	""	"1996/0196/PRT"	""	"3"	"OJ C 332, 07/11/1996, p. 11–13
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)"	
"Proposal for a COUNCIL DIRECTIVE on the establishment of European committees or procedures in Community-scale undertakings and Community-scale groups of undertakings for the purposes of informing and consulting employees"	"/* COM/94/134FINAL - PRT 94/0113 */"	"51994PC0134"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1994-04-13"	"European Commission"	""	"5"	"1994"	"PC"	"0134"	""	"1994/0113/PRT"	""	"8"	"OJ C 135, 18/05/1994, p. 8–15
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)"	
"COMMON POSITION (EC) No 37/97 adopted by the Council on 24 July 1997 with a view to the adoption of Council Directive 97/.../EC on the burden of proof in cases of discrimination based on sex"	""	"51997AG1008(02)"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1997-07-24"	"Council of the European Union"	""	"5"	"1997"	"AG"	"1008"	""	"1996/0196/PRT"	""	"3"	"OJ C 307, 08/10/1997, p. 6–8
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)"	
"Opinion of the Economic and Social Committee on the 'Proposal for a Council Directive on the burden of proof in cases of discrimination based on sex'"	""	"51997AC0236"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1997-02-26"	"European Economic and Social Committee"	""	"5"	"1997"	"AC"	"0236"	""	"1996/0196/PRT"	""	"4"	"OJ C 133, 28/04/1997, p. 34–37
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)"	
"OPINION OF THE ECONOMIC AND SOCIAL COMMITTEE on the proposal for a Council Directive on the establishing of European committees or procedures in Community - scale undertakings and Community - scale groups of undertakings for the purposes of informing and consulting employees"	""	"51994AC0753"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1994-06-01"	"European Economic and Social Committee"	""	"5"	"1994"	"AC"	"0753"	""	"1994/0113/PRT"	""	"6"	"OJ C 295, 22/10/1994, p. 64–69
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)"	
"COMMON POSITION (EC) No 32/94 adopted by the Council on 18 July 1994 with a view to adopting Council Directive 94/. . ./EC of . . . on the establishment of a European Works Council or a procedure in Community-scale undertakings and Community-scale groups of undertakings for the purposes of informing and consulting employees"	""	"51994AG0831(04)"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1994-07-18"	"Council of the European Union"	""	"5"	"1994"	"AG"	"0831"	""	"1994/0113/PRT"	""	"14"	"OJ C 244, 31/08/1994, p. 37–50
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)"	
"Amended proposal for a Council Directive on the burden of proof in cases of discrimination based on sex"	"/* COM/97/0202 final - PRT 96/0196 */"	"51997PC0202"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1997-05-14"	"European Commission"	""	"5"	"1997"	"PC"	"0202"	""	"1996/0196/PRT"	""	"7"	"OJ C 185, 18/06/1997, p. 21–27
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)"	
"Proposal for a Council directive concerning the Agreement on the organisation of working time of seafarers concluded by the European Community Shipowners' Association (ECSA) and the Federation of Transport Workers' Unions in the European Union (FST)"	"/* COM/98/0662 final - PRT 98/0320 */"	"51998PC0662(03)"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1998-11-18"	"European Commission"	""	"5"	"1998"	"PC"	"0662"	""	"1998/0320/PRT"	""	""	"OJ C 43, 17/02/1999, p. 9
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)"	
"Amended proposal for a COUNCIL DIRECTIVE on the establishment of European committees or procedures in Community-scale undertakings and Community-scale groups of undertakings for the purposes of informing and consulting employees"	"/* COM/94/228FINAL - PRT 94/0113 */"	"51994PC0228"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1994-06-03"	"European Commission"	""	"5"	"1994"	"PC"	"0228"	""	"1994/0113/PRT"	""	"16"	"OJ C 199, 21/07/1994, p. 10–25
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)"	
"AMENDED PROPOSAL FOR A COUNCIL REGULATION ( EEC ) LAYING DOWN GENERAL RULES ON THE DEFINITION, DESCRIPTION AND PRESENTATION OF SPIRITUOUS BEVERAGES"	"/* COM/86/159FINAL - SYN 22 */"	"51986PC0159(01)"	""	""	""	""	""		""	""	""	"ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ"	"1986-09-24"	"European Commission"	""	"5"	"1986"	"PC"	"0159"	""	"1982/0022/PRT"	""	"11"	"OJ C 269, 25/10/1986, p. 4–14
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)"	
