Product name,String ID,GUID,Service plans included,Service plans included (friendly names)
AUDIO CONFERENCING,MCOMEETADV,0c266dff-15dd-4b49-8397-2bb16070ed52,MCOMEETADV (3e26ee1f-8a5f-4d52-aee2-b81ce45c8f40),AUDIO CONFERENCING(3e26ee1f-8a5f-4d52-aee2-b81ce45c8f40)
AZURE ACTIVE DIRECTORY BASIC,AAD_BASIC,2b9c8e7c-319c-43a2-a2a0-48c5c6161de7,AAD_BASIC (c4da7f8a-5ee2-4c99-a7e1-87d2df57f6fe),MICROSOFT AZURE ACTIVE DIRECTORY BASIC(c4da7f8a-5ee2-4c99-a7e1-87d2df57f6fe)
AZURE ACTIVE DIRECTORY PREMIUM P1,AAD_PREMIUM,078d2b04-f1bd-4111-bbd4-b4b1b354cef4,AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d),AZURE ACTIVE DIRECTORY PREMIUM P1 (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
AZURE ACTIVE DIRECTORY PREMIUM P2,AAD_PREMIUM,078d2b04-f1bd-4111-bbd4-b4b1b354cef5,ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9),MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION (8a256a2b-b617-496d-b51b-e76466e88db0)
AZURE ACTIVE DIRECTORY PREMIUM P3,AAD_PREMIUM,078d2b04-f1bd-4111-bbd4-b4b1b354cef6,MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0),CLOUD APP SECURITY DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
AZURE ACTIVE DIRECTORY PREMIUM P2,AAD_PREMIUM_P2,84a661c4-e949-4bd2-a560-ed7766fcaf2b,AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d),AZURE ACTIVE DIRECTORY PREMIUM P1 (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
AZURE ACTIVE DIRECTORY PREMIUM P3,AAD_PREMIUM_P3,84a661c4-e949-4bd2-a560-ed7766fcaf2b,AAD_PREMIUM_P2 (eec0eb4f-6444-4f95-aba0-50c24d67f998),MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION (8a256a2b-b617-496d-b51b-e76466e88db0)
AZURE ACTIVE DIRECTORY PREMIUM P4,AAD_PREMIUM_P4,84a661c4-e949-4bd2-a560-ed7766fcaf2b,ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9),CLOUD APP SECURITY DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
AZURE ACTIVE DIRECTORY PREMIUM P5,AAD_PREMIUM_P5,84a661c4-e949-4bd2-a560-ed7766fcaf2b,MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0),AZURE ACTIVE DIRECTORY PREMIUM P2 (eec0eb4f-6444-4f95-aba0-50c24d67f998)
AZURE INFORMATION PROTECTION PLAN 1,RIGHTSMANAGEMENT,c52ea49f-fe5d-4e95-93ba-1de91d380f89,RMS_S_ENTERPRISE (bea4c11e-220a-4e6d-8eb8-8ea15d019f90),AZURE INFORMATION PROTECTION PREMIUM P1 (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)
AZURE INFORMATION PROTECTION PLAN 2,RIGHTSMANAGEMENT,c52ea49f-fe5d-4e95-93ba-1de91d380f90,RMS_S_PREMIUM (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3),MICROSOFT AZURE ACTIVE DIRECTORY RIGHTS (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN1,ea126fc5-a19e-42e2-a731-da9d437bffcf,DYN365_ENTERPRISE_P1 (d56f3deb-50d8-465a-bedb-f079817ccac1),MICROSOFT SOCIAL ENGAGEMENT - SERVICE DISCONTINUATION (03acaee3-9492-4f40-aed4-bcb6b32981b6)
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN2,ea126fc5-a19e-42e2-a731-da9d437bffcf,FLOW_DYN_P2 (b650d915-9886-424b-a08d-633cede56f57),POWERAPPS FOR DYNAMICS 365 (0b03f40b-c404-40c3-8651-2aceb74365fa)
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN3,ea126fc5-a19e-42e2-a731-da9d437bffcf,NBENTERPRISE (03acaee3-9492-4f40-aed4-bcb6b32981b6),SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN4,ea126fc5-a19e-42e2-a731-da9d437bffcf,POWERAPPS_DYN_P2 (0b03f40b-c404-40c3-8651-2aceb74365fa),FLOW FOR DYNAMICS 365 (b650d915-9886-424b-a08d-633cede56f57)
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN5,ea126fc5-a19e-42e2-a731-da9d437bffcf,PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3),DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN (d56f3deb-50d8-465a-bedb-f079817ccac1)
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN6,ea126fc5-a19e-42e2-a731-da9d437bffcf,SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN7,ea126fc5-a19e-42e2-a731-da9d437bffcf,SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72),PROJECT ONLINE DESKTOP CLIENT (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3)
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION,DYN365_ENTERPRISE_PLAN8,ea126fc5-a19e-42e2-a731-da9d437bffcf,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),PROJECT ONLINE SERVICE (fe71d6c3-a2ea-4499-9778-da042bf08063)
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_CUSTOMER_SERVICE,749742bf-0d37-4158-a120-33567104deeb,DYN365_ENTERPRISE_CUSTOMER_SERVICE (99340b49-fb81-4b1e-976b-8f2ae8e9394f),MICROSOFT SOCIAL ENGAGEMENT - SERVICE DISCONTINUATION (03acaee3-9492-4f40-aed4-bcb6b32981b6)
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_CUSTOMER_SERVICE,749742bf-0d37-4158-a120-33567104deeb,FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba),PROJECT ONLINE ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_CUSTOMER_SERVICE,749742bf-0d37-4158-a120-33567104deeb,NBENTERPRISE (03acaee3-9492-4f40-aed4-bcb6b32981b6),SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_CUSTOMER_SERVICE,749742bf-0d37-4158-a120-33567104deeb,POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b),FLOW FOR DYNAMICS 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_CUSTOMER_SERVICE,749742bf-0d37-4158-a120-33567104deeb,PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda),POWERAPPS FOR DYNAMICS 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_CUSTOMER_SERVICE,749742bf-0d37-4158-a120-33567104deeb,SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72),DYNAMICS 365 FOR CUSTOMER SERVICE (99340b49-fb81-4b1e-976b-8f2ae8e9394f)
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_CUSTOMER_SERVICE,749742bf-0d37-4158-a120-33567104deeb,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION,DYN365_FINANCIALS_BUSINESS_SKU,cc13a803-544e-4464-b4e4-6d6169a138fa,DYN365_FINANCIALS_BUSINESS (920656a2-7dd8-4c83-97b6-a356414dbd36),FLOW FOR DYNAMICS 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION,DYN365_FINANCIALS_BUSINESS_SKU,cc13a803-544e-4464-b4e4-6d6169a138fa,FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba),POWERAPPS FOR DYNAMICS 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION,DYN365_FINANCIALS_BUSINESS_SKU,cc13a803-544e-4464-b4e4-6d6169a138fa,POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b),DYNAMICS 365 FOR FINANCIALS (920656a2-7dd8-4c83-97b6-a356414dbd36)
DYNAMICS 365 FOR SALES AND CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE,8edc2cf8-6438-4fa9-b6e3-aa1660c640cc,DYN365_ENTERPRISE_P1 (d56f3deb-50d8-465a-bedb-f079817ccac1),DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN (d56f3deb-50d8-465a-bedb-f079817ccac1)
DYNAMICS 365 FOR SALES AND CUSTOMER SERVICE ENTERPRISE EDITION,DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE,8edc2cf8-6438-4fa9-b6e3-aa1660c640cc,FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba),FLOW FOR DYNAMICS 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
