Profile,Endpoint,Hostname,Time,RequestCountTotal,RequestCountHttpStatus2xx,RequestCountHttpStatus3xx,RequestCountHttpStatus4xx,RequestCountHttpStatus5xx,RequestCountHttpStatusOthers,RequestCountHttpStatus200,RequestCountHttpStatus206,RequestCountHttpStatus302,RequestCountHttpStatus304,RequestCountHttpStatus404,RequestCountCacheHit,RequestCountCacheMiss,RequestCountCacheNoCache,RequestCountCacheUncacheable,RequestCountCacheOthers,EgressTotal,EgressHttpStatus2xx,EgressHttpStatus3xx,EgressHttpStatus4xx,EgressHttpStatus5xx,EgressHttpStatusOthers,EgressCacheHit,EgressCacheMiss,EgressCacheNoCache,EgressCacheUncacheable,EgressCacheOthers
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 1:00:00 AM,61,58,0,3,0,0,,,,,,56,5,0,0,0,0.07,0.07,0,0,0,0,0.06,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 2:00:00 AM,108,108,0,0,0,0,,,,,,108,0,0,0,0,0.12,0.12,0,0,0,0,0.12,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 3:00:00 AM,81,81,0,0,0,0,,,,,,81,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 4:00:00 AM,27,27,0,0,0,0,,,,,,27,0,0,0,0,0.03,0.03,0,0,0,0,0.03,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 5:00:00 AM,50,50,0,0,0,0,,,,,,50,0,0,0,0,0.06,0.06,0,0,0,0,0.06,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 6:00:00 AM,50,50,0,0,0,0,,,,,,50,0,0,0,0,0.06,0.06,0,0,0,0,0.06,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 7:00:00 AM,75,75,0,0,0,0,,,,,,73,2,0,0,0,0.09,0.09,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 8:00:00 AM,71,71,0,0,0,0,,,,,,71,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 9:00:00 AM,101,101,0,0,0,0,,,,,,101,0,0,0,0,0.12,0.12,0,0,0,0,0.12,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 10:00:00 AM,100,100,0,0,0,0,,,,,,100,0,0,0,0,0.12,0.12,0,0,0,0,0.12,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 11:00:00 AM,84,84,0,0,0,0,,,,,,84,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 12:00:00 PM,99,99,0,0,0,0,,,,,,99,0,0,0,0,0.11,0.11,0,0,0,0,0.11,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 1:00:00 PM,98,98,0,0,0,0,,,,,,98,0,0,0,0,0.11,0.11,0,0,0,0,0.11,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 2:00:00 PM,93,93,0,0,0,0,,,,,,93,0,0,0,0,0.11,0.11,0,0,0,0,0.11,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 3:00:00 PM,93,93,0,0,0,0,,,,,,93,0,0,0,0,0.11,0.11,0,0,0,0,0.11,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 4:00:00 PM,92,92,0,0,0,0,,,,,,92,0,0,0,0,0.11,0.11,0,0,0,0,0.11,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 5:00:00 PM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 6:00:00 PM,83,83,0,0,0,0,,,,,,83,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 7:00:00 PM,66,66,0,0,0,0,,,,,,66,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 8:00:00 PM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 9:00:00 PM,73,73,0,0,0,0,,,,,,73,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 10:00:00 PM,60,60,0,0,0,0,,,,,,60,0,0,0,0,0.07,0.07,0,0,0,0,0.07,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/7/2017 11:00:00 PM,63,63,0,0,0,0,,,,,,63,0,0,0,0,0.07,0.07,0,0,0,0,0.07,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 12:00:00 AM,71,71,0,0,0,0,,,,,,71,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 1:00:00 AM,73,73,0,0,0,0,,,,,,73,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 2:00:00 AM,69,69,0,0,0,0,,,,,,69,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 3:00:00 AM,14,14,0,0,0,0,,,,,,14,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 4:00:00 AM,39,39,0,0,0,0,,,,,,39,0,0,0,0,0.04,0.04,0,0,0,0,0.04,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 5:00:00 AM,39,39,0,0,0,0,,,,,,39,0,0,0,0,0.04,0.04,0,0,0,0,0.04,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 6:00:00 AM,58,58,0,0,0,0,,,,,,58,0,0,0,0,0.07,0.07,0,0,0,0,0.07,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 7:00:00 AM,78,78,0,0,0,0,,,,,,78,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 8:00:00 AM,78,78,0,0,0,0,,,,,,78,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 9:00:00 AM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 10:00:00 AM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 11:00:00 AM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 12:00:00 PM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 1:00:00 PM,63,63,0,0,0,0,,,,,,63,0,0,0,0,0.07,0.07,0,0,0,0,0.07,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 2:00:00 PM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/8/2017 3:00:00 PM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
