article	in nbfolder branch?	Current Reference	New Name
concept-ml-pipelines.md	NO	pipeline/pipeline-batch-scoring.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/machine-learning-pipelines/pipeline-batch-scoring.ipynb 
how-to-auto-train-remote.md	Yes	automl/03.auto-ml-remote-execution.ipynb 	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/automated-machine-learning/remote-execution/auto-ml-remote-execution.ipynb
how-to-azure-machine-learning-on-databricks.md	Yes	databricks/01.Installation_and_Configuration.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/azure-databricks/01.Installation_and_Configuration.ipynb
how-to-azure-machine-learning-on-databricks.md	Yes	databricks/02.Ingest_data.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/azure-databricks/02.Ingest_data.ipynb
how-to-azure-machine-learning-on-databricks.md	Yes	databricks/03b.Build_model_runHistory.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/azure-databricks/03.Build_model_runHistory.ipynb
how-to-azure-machine-learning-on-databricks.md	Yes	databricks/04.Deploy_to_ACI.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/azure-databricks/04.Deploy_to_ACI.ipynb
how-to-azure-machine-learning-on-databricks.md	NO	databricks/04.Deploy_to_AKS_existingImage.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/azure-databricks/04.Deploy_to_AKS_existingImage.ipynb
how-to-build-deploy-onnx.md	Yes	onnx/onnx-modelzoo-aml-deploy-resnet50.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/deployment/onnx/onnx-modelzoo-aml-deploy-resnet50.ipynb
how-to-build-deploy-onnx.md	Yes	onnx/onnx-convert-aml-deploy-tinyyolo.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/deployment/onnx/onnx-convert-aml-deploy-tinyyolo.ipynb
how-to-build-deploy-onnx.md	NO	onnx/onnx-train-pytorch-aml-deploy-mnist.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/deployment/onnx/onnx-train-pytorch-aml-deploy-mnist.ipynb
how-to-build-deploy-onnx.md	Yes	onnx/onnx-inference-mnist-deploy.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/deployment/onnx/onnx-inference-mnist-deploy.ipynb
how-to-build-deploy-onnx.md	Yes	onnx/onnx-inference-facial-expression-recognition-deploy.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/deployment/onnx/onnx-inference-facial-expression-recognition-deploy.ipynb
how-to-deploy-fpga-web-service.md	NO	project-brainwave/project-brainwave-quickstart.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/deployment/project-brainwave/project-brainwave-quickstart.ipynb
how-to-enable-app-insights.md	Yes	01.getting-started/13.enable-app-insights	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/deployment/enable-app-insights-in-production-service/enable-app-insights-in-production-service.ipynb
how-to-enable-data-collection.md	Yes	01.getting-started/12.enable-data-collection-for-models-in-aks	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/deployment/enable-app-insights-in-production-service/enable-app-insights-in-production-service.ipynb
how-to-run-batch-predictions.md		aka.ms/aml-pipeline-notebooks -> https://github.com/Azure/MachineLearningNotebooks/tree/master/pipeline	UPDATE to https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/machine-learning-pipelines
how-to-run-batch-predictions.md	NO	pipeline/pipeline-batch-scoring.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/machine-learning-pipelines/pipeline-batch-scoring.ipynb
how-to-set-up-training-targets.md	Yes	01.getting-started/02.train-on-local/02.train-on-local.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training/train-on-local/train-on-local.ipynb
how-to-set-up-training-targets.md	NO	getting-started/train-on-amlcompute/train-on-amlcompute.ipynb 	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training/train-on-amlcompute/train-on-amlcompute.ipynb
how-to-set-up-training-targets.md		03.train-hyperparameter-tune-deploy-with-tensorflow/03.train-hyperparameter-tune-deploy-with-tensorflow.ipynb	Not seeing this ref in the article anymore?
how-to-set-up-training-targets.md	Yes	pipeline	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/machine-learning-pipelines
how-to-set-up-training-targets.md	Yes	01.getting-started/04.train-on-remote-vm/04.train-on-remote-vm.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training/train-on-remote-vm/train-on-remote-vm.ipynb
how-to-set-up-training-targets.md	NO	01.getting-started/03.train-on-aci/03.train-on-aci.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training/train-on-aci/train-on-aci.ipynb
how-to-set-up-training-targets.md	NO	01.getting-started/05.train-in-spark/05.train-in-spark.ipynb]	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training/train-in-spark/train-in-spark.ipynb
how-to-set-up-training-targets.md	Yes	01.getting-started/02.train-on-local/02.train-on-local.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training/train-on-local/train-on-local.ipynb
how-to-set-up-training-targets.md	Yes	01.getting-started/04.train-on-remote-vm/04.train-on-remote-vm.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training/train-on-remote-vm/train-on-remote-vm.ipynb
